Date,Start Time,Duration,Value,Edit Code,Flow Direction,TOU
3/10/2020,12:00 AM,60,0.18,Direct,,NoTOU
3/10/2020,1:00 AM,60,0.21,Direct,,NoTOU
3/10/2020,2:00 AM,60,0.18,Direct,,NoTOU
3/10/2020,3:00 AM,60,0.15,Direct,,NoTOU
3/10/2020,4:00 AM,60,0.16,Direct,,NoTOU
3/10/2020,5:00 AM,60,0.175,Direct,,NoTOU
3/10/2020,6:00 AM,60,0.17,Direct,,NoTOU
3/10/2020,7:00 AM,60,0.13,Direct,,NoTOU
3/10/2020,8:00 AM,60,0.17,Direct,,NoTOU
3/10/2020,9:00 AM,60,0.235,Direct,,NoTOU
3/10/2020,10:00 AM,60,0.11,Direct,,NoTOU
3/10/2020,11:00 AM,60,0.47,Direct,,NoTOU
3/10/2020,12:00 PM,60,0.51,Direct,,NoTOU
3/10/2020,1:00 PM,60,0.8,Direct,,NoTOU
3/10/2020,2:00 PM,60,0.61,Direct,,NoTOU
3/10/2020,3:00 PM,60,0.205,Direct,,NoTOU
3/10/2020,4:00 PM,60,0.09,Direct,,NoTOU
3/10/2020,5:00 PM,60,0.455,Direct,,NoTOU
3/10/2020,6:00 PM,60,0.465,Direct,,NoTOU
3/10/2020,7:00 PM,60,0.405,Direct,,NoTOU
3/10/2020,8:00 PM,60,0.74,Direct,,NoTOU
3/10/2020,9:00 PM,60,2.405,Direct,,NoTOU
3/10/2020,10:00 PM,60,0.93,Direct,,NoTOU
3/10/2020,11:00 PM,60,0.64,Direct,,NoTOU
3/11/2020,12:00 AM,60,0.175,Direct,,NoTOU
3/11/2020,1:00 AM,60,0.175,Direct,,NoTOU
3/11/2020,2:00 AM,60,0.185,Direct,,NoTOU
3/11/2020,3:00 AM,60,0.145,Direct,,NoTOU
3/11/2020,4:00 AM,60,0.155,Direct,,NoTOU
3/11/2020,5:00 AM,60,0.18,Direct,,NoTOU
3/11/2020,6:00 AM,60,0.145,Direct,,NoTOU
3/11/2020,7:00 AM,60,0.175,Direct,,NoTOU
3/11/2020,8:00 AM,60,0.18,Direct,,NoTOU
3/11/2020,9:00 AM,60,0.135,Direct,,NoTOU
3/11/2020,10:00 AM,60,0.22,Direct,,NoTOU
3/11/2020,11:00 AM,60,0.11,Direct,,NoTOU
3/11/2020,12:00 PM,60,0.375,Direct,,NoTOU
3/11/2020,1:00 PM,60,0.485,Direct,,NoTOU
3/11/2020,2:00 PM,60,0.6,Direct,,NoTOU
3/11/2020,3:00 PM,60,1.635,Direct,,NoTOU
3/11/2020,4:00 PM,60,0.225,Direct,,NoTOU
3/11/2020,5:00 PM,60,0.13,Direct,,NoTOU
